"species","sample","ind","loc","ring","year","comment"
"MT","3","1","Cap","LW","1984",NA
"MT","3","1","Cap","LW","1987",NA
"MT","3","1","Cap","LW","1992",NA
"MT","3","1","Cap","LW","1997",NA
"MT","3","1","Cap","LW","1999",NA
"MT","3","1","Cap","LW","2002","evtlMixed"
"MT","3","1","Cap","LW","2003","evtlMixed"
"MT","3","1","Cap","LW","2004",NA
"MT","3","1","Cap","LW","2008",NA
"MT","3","1","Cap","LW","2009",NA
"MT","3","1","Cap","LW","2010",NA
"MT","3","1","Cap","LW","2011",NA
"MT","3","1","Cap","LW","2012",NA
"MT","3","1","Cap","LW","2013",NA
"MT","3","1","Cap","LW","2015",NA
"MT","3","1","Cap","LW","2016",NA
"MT","3","1","Cap","LW","2017",NA
"MT","3","1","Cap","LW","2019",NA
"MT","3","1","Cap","LW","2020","weak"
"MT","3","1","Cap","LW","2021",NA
"MT","3","2","Cap","LW","1980",NA
"MT","3","2","Cap","LW","1982","ganzevtlMixed"
"MT","3","2","Cap","LW","1983",NA
"MT","3","2","Cap","LW","1984",NA
"MT","3","2","Cap","LW","1989","evtlMixed"
"MT","3","2","Cap","LW","1990",NA
"MT","3","2","Cap","LW","1993",NA
"MT","3","2","Cap","LW","1997",NA
"MT","3","2","Cap","LW","1998",NA
"MT","3","2","Cap","LW","1999","weird"
"MT","3","2","Cap","LW","2000",NA
"MT","3","2","Cap","LW","2001",NA
"MT","3","2","Cap","LW","2002",NA
"MT","3","2","Cap","LW","2005",NA
"MT","3","2","Cap","LW","2006",NA
"MT","3","2","Cap","LW","2007",NA
"MT","3","2","Cap","LW","2011",NA
"MT","3","2","Cap","LW","2014",NA
"MT","3","2","Cap","LW","2015",NA
"MT","3","2","Cap","LW","2017",NA
"MT","3","2","Cap","LW","2018","evtlMixed"
"MT","3","2","Cap","LW","2019",NA
