CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-11-01 00:00,mm,206,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-01-01 00:00,mm,10.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-02-01 00:00,mm,38.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-03-01 00:00,mm,111.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-04-01 00:00,mm,281.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-05-01 00:00,mm,205.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-06-01 00:00,mm,57.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-07-01 00:00,mm,45,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-09-01 00:00,mm,137.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-11-01 00:00,mm,80.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1978-12-01 00:00,mm,47.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-01-01 00:00,mm,21.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-02-01 00:00,mm,54.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-03-01 00:00,mm,42.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-04-01 00:00,mm,225.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-05-01 00:00,mm,270.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-06-01 00:00,mm,166.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-07-01 00:00,mm,166.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-08-01 00:00,mm,213.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-09-01 00:00,mm,152.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-10-01 00:00,mm,206.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-11-01 00:00,mm,129.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1979-12-01 00:00,mm,94.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-02-01 00:00,mm,150,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-03-01 00:00,mm,18.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-04-01 00:00,mm,68.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-05-01 00:00,mm,143.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-07-01 00:00,mm,172,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-10-01 00:00,mm,161.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-11-01 00:00,mm,175.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1980-12-01 00:00,mm,55.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-01-01 00:00,mm,7.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-02-01 00:00,mm,42.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-03-01 00:00,mm,20.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-04-01 00:00,mm,270.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-05-01 00:00,mm,239.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-06-01 00:00,mm,157.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-07-01 00:00,mm,87.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-08-01 00:00,mm,198.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-09-01 00:00,mm,142.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-10-01 00:00,mm,233.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-11-01 00:00,mm,113,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1981-12-01 00:00,mm,26.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-01-01 00:00,mm,63.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-02-01 00:00,mm,52.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-03-01 00:00,mm,32.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-04-01 00:00,mm,253.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-05-01 00:00,mm,176.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-06-01 00:00,mm,73.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-07-01 00:00,mm,129.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-08-01 00:00,mm,143.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-09-01 00:00,mm,125.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-10-01 00:00,mm,145.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-11-01 00:00,mm,40.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1982-12-01 00:00,mm,16.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-01-01 00:00,mm,30.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-02-01 00:00,mm,4.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-03-01 00:00,mm,43,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-04-01 00:00,mm,291.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-05-01 00:00,mm,238.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-06-01 00:00,mm,51.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1983-07-01 00:00,mm,103,Preliminar
