CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-09-01 00:00,mm,117,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-10-01 00:00,mm,173,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-11-01 00:00,mm,38,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-12-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-01-01 00:00,mm,36,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-02-01 00:00,mm,56,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-03-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-04-01 00:00,mm,228,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-05-01 00:00,mm,26,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-06-01 00:00,mm,97,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-07-01 00:00,mm,18,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-08-01 00:00,mm,38,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-09-01 00:00,mm,72,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-10-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-11-01 00:00,mm,37,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1964-12-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-01-01 00:00,mm,19,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-02-01 00:00,mm,10,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-03-01 00:00,mm,4,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-04-01 00:00,mm,25,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-05-01 00:00,mm,49,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-06-01 00:00,mm,7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-07-01 00:00,mm,22,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-09-01 00:00,mm,82.5,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-10-01 00:00,mm,125.5,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-11-01 00:00,mm,37,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1965-12-01 00:00,mm,7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-01-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-02-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-03-01 00:00,mm,14,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-04-01 00:00,mm,11,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-05-01 00:00,mm,32,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-06-01 00:00,mm,4,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-07-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-08-01 00:00,mm,34,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-09-01 00:00,mm,5,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-10-01 00:00,mm,35,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-11-01 00:00,mm,24,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1966-12-01 00:00,mm,18,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-01-01 00:00,mm,30.7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-02-01 00:00,mm,37,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-03-01 00:00,mm,48.5,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-04-01 00:00,mm,101.3,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-05-01 00:00,mm,104.7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-06-01 00:00,mm,64.7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-07-01 00:00,mm,49.6,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-08-01 00:00,mm,44,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-09-01 00:00,mm,33,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-10-01 00:00,mm,139,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-11-01 00:00,mm,59,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1967-12-01 00:00,mm,5,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1968-01-01 00:00,mm,76,Preliminar
