TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/19
TIME;14:54:00
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,26424
MAXY;     0,32111
MINY;    -0,00462
XYDATA
399,1927;0,264244
400,1569;0,261849
401,1211;0,259134
402,0854;0,256601
403,0496;0,254497
404,0138;0,252924
404,9781;0,251913
405,9423;0,251453
406,9065;0,251506
407,8708;0,252004
408,8350;0,252845
409,7992;0,253864
410,7635;0,254838
411,7277;0,255562
412,6919;0,255979
413,6562;0,256257
414,6204;0,256742
415,5846;0,257859
416,5489;0,259978
417,5131;0,263139
418,4773;0,266652
419,4416;0,269222
420,4058;0,270052
421,3700;0,269485
422,3343;0,268326
423,2985;0,267153
424,2627;0,266212
425,2270;0,265547
426,1912;0,265121
427,1554;0,264888
428,1197;0,264829
429,0839;0,264945
430,0481;0,265232
431,0124;0,265644
431,9766;0,266083
432,9408;0,266422
433,9051;0,266567
434,8693;0,266504
435,8335;0,266296
436,7978;0,266019
437,7620;0,265676
438,7262;0,265176
439,6905;0,264403
440,6547;0,263339
441,6189;0,262157
442,5832;0,261187
443,5474;0,26074
444,5116;0,260873
445,4759;0,261341
446,4401;0,261752
447,4043;0,261802
448,3686;0,261399
449,3328;0,260638
450,2970;0,259702
451,2613;0,258762
452,2255;0,257924
453,1897;0,257235
454,1540;0,256723
455,1182;0,256411
456,0824;0,256299
457,0467;0,256317
458,0109;0,256323
458,9751;0,256161
459,9394;0,255763
460,9036;0,255178
461,8678;0,254528
462,8321;0,253944
463,7963;0,253532
464,7605;0,253347
465,7248;0,253364
466,6890;0,253484
467,6532;0,253586
468,6175;0,253598
469,5817;0,25354
470,5459;0,253518
471,5102;0,253636
472,4744;0,253902
473,4386;0,25418
474,4029;0,254283
475,3671;0,254113
476,3313;0,253728
477,2956;0,253294
478,2598;0,252979
479,2240;0,252857
480,1883;0,252882
481,1525;0,252942
482,1167;0,252964
483,0810;0,252979
484,0452;0,253108
485,0094;0,253456
485,9737;0,254016
486,9379;0,254655
487,9021;0,255199
488,8664;0,255533
489,8306;0,255649
490,7948;0,255635
491,7591;0,25562
492,7233;0,255699
493,6875;0,255902
494,6518;0,256205
495,6160;0,256577
496,5802;0,257025
497,5445;0,257585
498,5087;0,258291
499,4729;0,259131
500,4372;0,26001
501,4014;0,26077
502,3656;0,26126
503,3299;0,261426
504,2941;0,261355
505,2583;0,261232
506,2226;0,261243
507,1868;0,261495
508,1510;0,261978
509,1153;0,262587
510,0795;0,263199
511,0437;0,263758
512,0080;0,264305
512,9722;0,264955
513,9365;0,265823
514,9007;0,266944
515,8649;0,268217
516,8292;0,269414
517,7934;0,270267
518,7576;0,270611
519,7219;0,270482
520,6861;0,270077
521,6503;0,269626
522,6146;0,269289
523,5788;0,269126
524,5430;0,269124
525,5073;0,269236
526,4715;0,269409
527,4357;0,269589
528,4000;0,269709
529,3642;0,269687
530,3284;0,269442
531,2927;0,268933
532,2569;0,26819
533,2211;0,267322
534,1854;0,266483
535,1496;0,265818
536,1138;0,265411
537,0781;0,265277
538,0423;0,265365
539,0065;0,265596
539,9708;0,265885
540,9350;0,266174
541,8992;0,266441
542,8635;0,266704
543,8277;0,267003
544,7919;0,267377
545,7562;0,267837
546,7204;0,26836
547,6846;0,268896
548,6489;0,269402
549,6131;0,269853
550,5773;0,270255
551,5416;0,27063
552,5058;0,271001
553,4700;0,271382
554,4343;0,271759
555,3985;0,272084
556,3627;0,272264
557,3270;0,272168
558,2912;0,271653
559,2554;0,270612
560,2197;0,269029
561,1839;0,267012
562,1481;0,264783
563,1124;0,262609
564,0766;0,260714
565,0408;0,259196
566,0051;0,25802
566,9693;0,257058
567,9335;0,256185
568,8978;0,255349
569,8620;0,254591
570,8262;0,253999
571,7905;0,253626
572,7547;0,25345
573,7189;0,253379
574,6832;0,253302
575,6474;0,253149
576,6116;0,252917
577,5759;0,252646
578,5401;0,252376
579,5043;0,252102
580,4686;0,251787
581,4328;0,251393
582,3970;0,250922
583,3613;0,250424
584,3255;0,249974
585,2897;0,249636
586,2540;0,249438
587,2182;0,249368
588,1824;0,249395
589,1467;0,24947
590,1109;0,249533
591,0751;0,249516
592,0394;0,249356
593,0036;0,249018
593,9678;0,248515
594,9321;0,247894
595,8963;0,247208
596,8605;0,246491
597,8248;0,245753
598,7890;0,244994
599,7532;0,244225
600,7175;0,243474
601,6817;0,242777
602,6459;0,242157
603,6102;0,241611
604,5744;0,241118
605,5386;0,240641
606,5029;0,240141
607,4671;0,23957
608,4313;0,238878
609,3956;0,238032
610,3598;0,237048
611,3240;0,236017
612,2883;0,235088
613,2525;0,2344
614,2167;0,233997
615,1810;0,233758
616,1452;0,233406
617,1094;0,232619
618,0737;0,231193
619,0379;0,229171
620,0021;0,226816
620,9664;0,22447
621,9306;0,222404
622,8948;0,220739
623,8591;0,219451
624,8233;0,218361
625,7875;0,217458
626,7518;0,216651
627,7160;0,215901
628,6802;0,215193
629,6445;0,214512
630,6087;0,213833
631,5729;0,213129
632,5372;0,212388
633,5014;0,21162
634,4656;0,210855
635,4299;0,210139
636,3941;0,209511
637,3583;0,208997
638,3226;0,208594
639,2868;0,208269
640,2510;0,20796
641,2153;0,207603
642,1795;0,207159
643,1437;0,206639
644,1080;0,2061
645,0722;0,205614
646,0364;0,205228
647,0007;0,204937
647,9649;0,204689
648,9291;0,204423
649,8934;0,204119
650,8576;0,203822
651,8218;0,203626
652,7861;0,203627
