TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/28
TIME;19:07:10
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,25333
MAXY;     0,25589
MINY;     0,01571
XYDATA
399,1927;0,25333
400,1569;0,255277
401,1211;0,255887
402,0854;0,255216
403,0496;0,253547
404,0138;0,251297
404,9781;0,24901
405,9423;0,247263
406,9065;0,246461
407,8708;0,246653
408,8350;0,247529
409,7992;0,248601
410,7635;0,249435
411,7277;0,24982
412,6919;0,249793
413,6562;0,249538
414,6204;0,249244
415,5846;0,249062
416,5489;0,249127
417,5131;0,249566
418,4773;0,250373
419,4416;0,251271
420,4058;0,251892
421,3700;0,252142
422,3343;0,2522
423,2985;0,252289
424,2627;0,252511
425,2270;0,252785
426,1912;0,252897
427,1554;0,252656
428,1197;0,252067
429,0839;0,251361
430,0481;0,250878
431,0124;0,250864
431,9766;0,251317
432,9408;0,251989
433,9051;0,252538
434,8693;0,25274
435,8335;0,252577
436,7978;0,252169
437,7620;0,251625
438,7262;0,250965
439,6905;0,250173
440,6547;0,249296
441,6189;0,248509
442,5832;0,248053
443,5474;0,248073
444,5116;0,248489
445,4759;0,249026
446,4401;0,249388
447,4043;0,249402
448,3686;0,249053
449,3328;0,248435
450,2970;0,247696
451,2613;0,246985
452,2255;0,246421
453,1897;0,246065
454,1540;0,245914
455,1182;0,245906
456,0824;0,24595
457,0467;0,245955
458,0109;0,245868
458,9751;0,245689
459,9394;0,245452
460,9036;0,245185
461,8678;0,244897
462,8321;0,244588
463,7963;0,244266
464,7605;0,243955
465,7248;0,243677
466,6890;0,243427
467,6532;0,243155
468,6175;0,242785
469,5817;0,242259
470,5459;0,241603
471,5102;0,240963
472,4744;0,240565
473,4386;0,240564
474,4029;0,240917
475,3671;0,241406
476,3313;0,241782
477,2956;0,241899
478,2598;0,241761
479,2240;0,241485
480,1883;0,241203
481,1525;0,240972
482,1167;0,240752
483,0810;0,240467
484,0452;0,240097
485,0094;0,23973
485,9737;0,239505
486,9379;0,239518
487,9021;0,239763
488,8664;0,240155
489,8306;0,240577
490,7948;0,240933
491,7591;0,241158
492,7233;0,241226
493,6875;0,241136
494,6518;0,240912
495,6160;0,240601
496,5802;0,240267
497,5445;0,239977
498,5087;0,239783
499,4729;0,239711
500,4372;0,239759
501,4014;0,239905
502,3656;0,240112
503,3299;0,240348
504,2941;0,240585
505,2583;0,2408
506,2226;0,240971
507,1868;0,241085
508,1510;0,241139
509,1153;0,241163
510,0795;0,241202
511,0437;0,241301
512,0080;0,241472
512,9722;0,241677
513,9365;0,241844
514,9007;0,241892
515,8649;0,241776
516,8292;0,241516
517,7934;0,241192
518,7576;0,240903
519,7219;0,240701
520,6861;0,240571
521,6503;0,240454
522,6146;0,240286
523,5788;0,240026
524,5430;0,239664
525,5073;0,239229
526,4715;0,238768
527,4357;0,238323
528,4000;0,237905
529,3642;0,237485
530,3284;0,237021
531,2927;0,236487
532,2569;0,235896
533,2211;0,235308
534,1854;0,234794
535,1496;0,234395
536,1138;0,234093
537,0781;0,233824
538,0423;0,233528
539,0065;0,233192
539,9708;0,232864
540,9350;0,232624
541,8992;0,232523
542,8635;0,232548
543,8277;0,232628
544,7919;0,232667
545,7562;0,232601
546,7204;0,23243
547,6846;0,23221
548,6489;0,232015
549,6131;0,231889
550,5773;0,231834
551,5416;0,231818
552,5058;0,231802
553,4700;0,23176
554,4343;0,231687
555,3985;0,231582
556,3627;0,23143
557,3270;0,231192
558,2912;0,230811
559,2554;0,230236
560,2197;0,229454
561,1839;0,228505
562,1481;0,227473
563,1124;0,226461
564,0766;0,225551
565,0408;0,224786
566,0051;0,224167
566,9693;0,22367
567,9335;0,223266
568,8978;0,222924
569,8620;0,22261
570,8262;0,222292
571,7905;0,221942
572,7547;0,221544
573,7189;0,221103
574,6832;0,220645
575,6474;0,220199
576,6116;0,219789
577,5759;0,219418
578,5401;0,219081
579,5043;0,218772
580,4686;0,218501
581,4328;0,218281
582,3970;0,218121
583,3613;0,218004
584,3255;0,217879
585,2897;0,217682
586,2540;0,217362
587,2182;0,21691
588,1824;0,216371
589,1467;0,215824
590,1109;0,215351
591,0751;0,214999
592,0394;0,214756
593,0036;0,21456
593,9678;0,214335
594,9321;0,214031
595,8963;0,213639
596,8605;0,21318
597,8248;0,212685
598,7890;0,212174
599,7532;0,211652
600,7175;0,211103
601,6817;0,210511
602,6459;0,209859
603,6102;0,209152
604,5744;0,208413
605,5386;0,207682
606,5029;0,207006
607,4671;0,20641
608,4313;0,205892
609,3956;0,205414
610,3598;0,204921
611,3240;0,204369
612,2883;0,203742
613,2525;0,203052
614,2167;0,20233
615,1810;0,201601
616,1452;0,200872
617,1094;0,200126
618,0737;0,199338
619,0379;0,198487
620,0021;0,197577
620,9664;0,196632
621,9306;0,195693
622,8948;0,194809
623,8591;0,194025
624,8233;0,193355
625,7875;0,192822
626,7518;0,192391
627,7160;0,192001
628,6802;0,191593
629,6445;0,191128
630,6087;0,190602
631,5729;0,190045
632,5372;0,189505
633,5014;0,189023
634,4656;0,188616
635,4299;0,188262
636,3941;0,187916
637,3583;0,187533
638,3226;0,18709
639,2868;0,186601
640,2510;0,186103
641,2153;0,185633
642,1795;0,185206
643,1437;0,184811
644,1080;0,184415
645,0722;0,183986
646,0364;0,183506
647,0007;0,182978
647,9649;0,182423
648,9291;0,181876
649,8934;0,181369
650,8576;0,180925
651,8218;0,180549
652,7861;0,180229
