"species","sample","ind","loc","ring","year","comment","first_year","growth_years"
"MT","3","1","Cap","EW",1987,NA,1961,26
"MT","3","1","Cap","EW",1988,NA,1961,27
"MT","3","1","Cap","EW",1989,NA,1961,28
"MT","3","1","Cap","EW",1990,NA,1961,29
"MT","3","1","Cap","EW",1991,NA,1961,30
"MT","3","1","Cap","EW",1992,NA,1961,31
"MT","3","1","Cap","EW",1993,NA,1961,32
"MT","3","1","Cap","EW",1994,NA,1961,33
"MT","3","1","Cap","EW",1995,NA,1961,34
"MT","3","1","Cap","EW",1997,NA,1961,36
"MT","3","1","Cap","EW",1998,NA,1961,37
"MT","3","1","Cap","EW",1999,NA,1961,38
"MT","3","1","Cap","EW",2000,NA,1961,39
"MT","3","1","Cap","EW",2001,NA,1961,40
"MT","3","1","Cap","EW",2002,NA,1961,41
"MT","3","1","Cap","EW",2003,NA,1961,42
"MT","3","1","Cap","EW",2004,NA,1961,43
"MT","3","1","Cap","EW",2005,NA,1961,44
"MT","3","1","Cap","EW",2006,NA,1961,45
"MT","3","1","Cap","EW",2007,NA,1961,46
"MT","3","1","Cap","EW",2008,NA,1961,47
"MT","3","1","Cap","EW",2009,NA,1961,48
"MT","3","1","Cap","EW",2010,NA,1961,49
"MT","3","1","Cap","EW",2011,NA,1961,50
"MT","3","1","Cap","EW",2012,NA,1961,51
"MT","3","1","Cap","EW",2013,NA,1961,52
"MT","3","1","Cap","EW",2014,NA,1961,53
"MT","3","1","Cap","EW",2015,NA,1961,54
"MT","3","1","Cap","EW",2016,NA,1961,55
"MT","3","1","Cap","EW",2017,NA,1961,56
"MT","3","1","Cap","EW",2018,NA,1961,57
"MT","3","1","Cap","EW",2020,NA,1961,59
"MT","3","1","Cap","EW",2021,NA,1961,60
"MT","3","1","Cap","LW",1966,NA,1961,5
"MT","3","1","Cap","LW",1970,NA,1961,9
"MT","3","1","Cap","LW",1971,NA,1961,10
"MT","3","1","Cap","LW",1972,NA,1961,11
"MT","3","1","Cap","LW",1973,NA,1961,12
"MT","3","1","Cap","LW",1982,NA,1961,21
"MT","3","1","Cap","LW",1984,NA,1961,23
"MT","3","1","Cap","LW",1987,NA,1961,26
"MT","3","1","Cap","LW",1992,NA,1961,31
"MT","3","1","Cap","LW",1997,NA,1961,36
"MT","3","1","Cap","LW",1999,NA,1961,38
"MT","3","1","Cap","LW",2002,"evtlMixed",1961,41
"MT","3","1","Cap","LW",2003,"evtlMixed",1961,42
"MT","3","1","Cap","LW",2004,NA,1961,43
"MT","3","1","Cap","LW",2008,NA,1961,47
"MT","3","1","Cap","LW",2009,NA,1961,48
"MT","3","1","Cap","LW",2010,NA,1961,49
"MT","3","1","Cap","LW",2011,NA,1961,50
"MT","3","1","Cap","LW",2012,NA,1961,51
"MT","3","1","Cap","LW",2013,NA,1961,52
"MT","3","1","Cap","LW",2015,NA,1961,54
"MT","3","1","Cap","LW",2016,NA,1961,55
"MT","3","1","Cap","LW",2017,NA,1961,56
"MT","3","1","Cap","LW",2019,NA,1961,58
"MT","3","1","Cap","LW",2020,"notClear",1961,59
"MT","3","1","Cap","LW",2021,NA,1961,60
"MT","3","2","Cap","EW",1959,NA,1959,0
"MT","3","2","Cap","EW",1960,NA,1959,1
"MT","3","2","Cap","EW",1961,"Mixed",1959,2
"MT","3","2","Cap","EW",1962,NA,1959,3
"MT","3","2","Cap","EW",1963,NA,1959,4
"MT","3","2","Cap","EW",1964,NA,1959,5
"MT","3","2","Cap","EW",1965,NA,1959,6
"MT","3","2","Cap","EW",1966,NA,1959,7
"MT","3","2","Cap","EW",1967,NA,1959,8
"MT","3","2","Cap","EW",1968,NA,1959,9
"MT","3","2","Cap","EW",1971,"ganzevtlMixed",1959,12
"MT","3","2","Cap","EW",1972,"ganzevtlMixed",1959,13
"MT","3","2","Cap","EW",1973,NA,1959,14
"MT","3","2","Cap","EW",1974,NA,1959,15
"MT","3","2","Cap","EW",1979,NA,1959,20
"MT","3","2","Cap","EW",1980,NA,1959,21
"MT","3","2","Cap","EW",1981,"ganzevtlMixed",1959,22
"MT","3","2","Cap","EW",1982,NA,1959,23
"MT","3","2","Cap","EW",1983,NA,1959,24
"MT","3","2","Cap","EW",1984,NA,1959,25
"MT","3","2","Cap","EW",1986,"evtlMixed",1959,27
"MT","3","2","Cap","EW",1987,NA,1959,28
"MT","3","2","Cap","EW",1988,NA,1959,29
"MT","3","2","Cap","EW",1989,NA,1959,30
"MT","3","2","Cap","EW",1990,NA,1959,31
"MT","3","2","Cap","EW",1991,NA,1959,32
"MT","3","2","Cap","EW",1992,NA,1959,33
"MT","3","2","Cap","EW",1993,NA,1959,34
"MT","3","2","Cap","EW",1994,NA,1959,35
"MT","3","2","Cap","EW",1995,NA,1959,36
"MT","3","2","Cap","EW",1996,NA,1959,37
"MT","3","2","Cap","EW",1997,NA,1959,38
"MT","3","2","Cap","EW",1998,NA,1959,39
"MT","3","2","Cap","EW",1999,NA,1959,40
"MT","3","2","Cap","EW",2000,NA,1959,41
"MT","3","2","Cap","EW",2001,NA,1959,42
"MT","3","2","Cap","EW",2002,NA,1959,43
"MT","3","2","Cap","EW",2003,NA,1959,44
"MT","3","2","Cap","EW",2004,NA,1959,45
"MT","3","2","Cap","EW",2005,NA,1959,46
"MT","3","2","Cap","EW",2006,NA,1959,47
"MT","3","2","Cap","EW",2007,NA,1959,48
"MT","3","2","Cap","EW",2008,NA,1959,49
"MT","3","2","Cap","EW",2009,NA,1959,50
"MT","3","2","Cap","EW",2010,NA,1959,51
"MT","3","2","Cap","EW",2011,NA,1959,52
"MT","3","2","Cap","EW",2012,NA,1959,53
"MT","3","2","Cap","EW",2013,NA,1959,54
"MT","3","2","Cap","EW",2014,NA,1959,55
"MT","3","2","Cap","EW",2015,NA,1959,56
"MT","3","2","Cap","EW",2016,NA,1959,57
"MT","3","2","Cap","EW",2017,NA,1959,58
"MT","3","2","Cap","EW",2018,NA,1959,59
"MT","3","2","Cap","EW",2019,NA,1959,60
"MT","3","2","Cap","EW",2020,NA,1959,61
"MT","3","2","Cap","EW",2021,NA,1959,62
"MT","3","2","Cap","EW",2022,NA,1959,63
"MT","3","2","Cap","EW",2023,NA,1959,64
"MT","3","2","Cap","LW",1980,NA,1959,21
"MT","3","2","Cap","LW",1982,"ganzevtlMixed",1959,23
"MT","3","2","Cap","LW",1983,NA,1959,24
"MT","3","2","Cap","LW",1984,NA,1959,25
"MT","3","2","Cap","LW",1989,"evtlMixed",1959,30
"MT","3","2","Cap","LW",1990,NA,1959,31
"MT","3","2","Cap","LW",1993,NA,1959,34
"MT","3","2","Cap","LW",1997,NA,1959,38
"MT","3","2","Cap","LW",1998,NA,1959,39
"MT","3","2","Cap","LW",1999,"notClear",1959,40
"MT","3","2","Cap","LW",2000,NA,1959,41
"MT","3","2","Cap","LW",2001,NA,1959,42
"MT","3","2","Cap","LW",2002,NA,1959,43
"MT","3","2","Cap","LW",2005,NA,1959,46
"MT","3","2","Cap","LW",2006,NA,1959,47
"MT","3","2","Cap","LW",2007,NA,1959,48
"MT","3","2","Cap","LW",2011,NA,1959,52
"MT","3","2","Cap","LW",2014,NA,1959,55
"MT","3","2","Cap","LW",2015,NA,1959,56
"MT","3","2","Cap","LW",2017,NA,1959,58
"MT","3","2","Cap","LW",2018,"evtlMixed",1959,59
"MT","3","2","Cap","LW",2019,NA,1959,60
