"species","sample","ind","loc","ring","year","comment","first_year","growth_years"
"MT","2","1","Cap","LW",1992,"valid",1959,33
"MT","2","1","Cap","LW",1993,"valid",1959,34
"MT","2","1","Cap","LW",1994,"valid",1959,35
"MT","2","1","Cap","LW",1995,"valid",1959,36
"MT","2","1","Cap","LW",1996,"valid",1959,37
"MT","2","1","Cap","LW",1997,"valid",1959,38
"MT","2","1","Cap","LW",1998,"valid",1959,39
"MT","2","1","Cap","LW",1999,"valid",1959,40
"MT","3","1","Cap","LW",1966,"valid",1961,5
"MT","3","1","Cap","LW",1970,"valid",1961,9
"MT","3","1","Cap","LW",1971,"valid",1961,10
"MT","3","1","Cap","LW",1972,"valid",1961,11
"MT","3","1","Cap","LW",1973,"valid",1961,12
"MT","3","1","Cap","LW",1982,"valid",1961,21
"MT","3","1","Cap","LW",1984,"valid",1961,23
"MT","3","1","Cap","LW",1987,"valid",1961,26
"MT","3","1","Cap","LW",1992,"valid",1961,31
"MT","3","1","Cap","LW",1997,"valid",1961,36
"MT","3","1","Cap","LW",1999,"valid",1961,38
"MT","3","1","Cap","LW",2002,"evtlMixed",1961,41
"MT","3","1","Cap","LW",2003,"evtlMixed",1961,42
"MT","3","1","Cap","LW",2004,"valid",1961,43
"MT","3","1","Cap","LW",2008,"valid",1961,47
"MT","3","1","Cap","LW",2009,"valid",1961,48
"MT","3","1","Cap","LW",2010,"valid",1961,49
"MT","3","1","Cap","LW",2011,"valid",1961,50
"MT","3","1","Cap","LW",2012,"valid",1961,51
"MT","3","1","Cap","LW",2013,"valid",1961,52
"MT","3","1","Cap","LW",2015,"valid",1961,54
"MT","3","1","Cap","LW",2016,"valid",1961,55
"MT","3","1","Cap","LW",2017,"valid",1961,56
"MT","3","1","Cap","LW",2019,"valid",1961,58
"MT","3","1","Cap","LW",2021,"valid",1961,60
"MT","3","2","Cap","LW",1980,"valid",1959,21
"MT","3","2","Cap","LW",1982,"ganzevtlMixed",1959,23
"MT","3","2","Cap","LW",1983,"valid",1959,24
"MT","3","2","Cap","LW",1984,"valid",1959,25
"MT","3","2","Cap","LW",1989,"evtlMixed",1959,30
"MT","3","2","Cap","LW",1990,"valid",1959,31
"MT","3","2","Cap","LW",1993,"valid",1959,34
"MT","3","2","Cap","LW",1997,"valid",1959,38
"MT","3","2","Cap","LW",1998,"valid",1959,39
"MT","3","2","Cap","LW",2000,"valid",1959,41
"MT","3","2","Cap","LW",2001,"valid",1959,42
"MT","3","2","Cap","LW",2002,"valid",1959,43
"MT","3","2","Cap","LW",2005,"valid",1959,46
"MT","3","2","Cap","LW",2006,"valid",1959,47
"MT","3","2","Cap","LW",2007,"valid",1959,48
"MT","3","2","Cap","LW",2011,"valid",1959,52
"MT","3","2","Cap","LW",2014,"valid",1959,55
"MT","3","2","Cap","LW",2015,"valid",1959,56
"MT","3","2","Cap","LW",2017,"valid",1959,58
"MT","3","2","Cap","LW",2018,"evtlMixed",1959,59
"MT","3","2","Cap","LW",2019,"valid",1959,60
